FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Jason,Denayer,DEF,SUN,4700000,1,46,2.3,4.8936170212766e-07,9.78723404255319e-06,0,4289,2,26,0,0,0,0,0,9.8,56,-3,0,46,3,0.5,0,2.5,2,0,5,0,0,0.1,2404,1,0,0,0,1589,64,0,0,265,West Ham,Middlesbrough,Bournemouth,Hull City,Swansea,2.9,1.6,2.6,1.6,4.3,1.7
Memphis,Depay,MID,MUN,7100000,0,3,0.8,1.12676056338028e-07,4.2253521126760605e-07,0,7842,1,1,0,0,0,0,0,0.4,22,-4,0,3,4,0.0,0,0.0,0,0,0,0,0,0.2,1084,0,259,0,0,24,9,0,0,6,Chelsea,Burnley,Man City,Swansea,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0
Gerard,Deulofeu,MID,EVE,5900000,0,13,1.2,2.03389830508475e-07,2.20338983050847e-06,0,133186,1,6,0,0,0,0,0,2.2,100,-6,0,13,6,0.0,0,0.0,0,0,0,0,0,0.8,19151,0,283,0,0,460,15,0,0,53,Burnley,West Ham,Chelsea,Swansea,Watford,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed,Diame,MID,HUL,5500000,0,0,0.0,0.0,0.0,0,854,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,284,0,0,0,0,0,6,0,0,0,Stoke,Watford,Southampton,Sunderland,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0
Eric,Dier,MID,TOT,5000000,9,76,2.6,5.2e-07,1.52e-05,0,403848,6,20,0,0,0,2,0,15.2,1484,-5,0,76,5,1.1,0,5.5,4,0,13,0,0,4.9,66267,0,526,0,1,2431,18170,0,0,408,Bournemouth,Crystal Palace,Arsenal,West Ham,Man Utd,2.4,1.5,2.0,1.3,3.7,1.8
Adama,Diomande,FWD,HUL,4400000,0,42,1.9,4.31818181818182e-07,9.54545454545455e-06,0,504112,1,29,0,0,0,2,0,9.3,4196,-1,1,42,1,0.1,0,0.3,2,0,2,0,0,3.9,535649,0,0,0,0,1171,1193,-1,0,127,Stoke,Watford,Southampton,Sunderland,Crystal Palace,1.0,1.9,1.1,2.1,1.1,1.8
Mame Biram,Diouf,FWD,STK,5700000,0,37,1.7,2.98245614035088e-07,6.49122807017544e-06,0,35571,3,23,0,0,0,0,0,6.5,133,-3,0,37,3,0.2,0,1.0,0,0,4,0,2,0.3,18494,0,245,0,0,1170,122,0,0,146,Hull City,Swansea,West Ham,Bournemouth,Arsenal,1.9,1.1,1.6,1.0,1.4,0.9
Brice,Dja Djedje,DEF,WAT,4400000,0,0,0.0,0.0,0.0,0,1176,0,0,0,0,0,0,0,0.0,2,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,111,0,0,0,0,0,3,0,0,0,Swansea,Hull City,Liverpool,Leicester,Everton,0.0,0.0,0.0,0.0,0.0,0.0
Papy,Djilobodji,DEF,SUN,4300000,0,24,1.3,3.0232558139534897e-07,5.58139534883721e-06,0,16989,4,35,0,0,0,0,0,5.6,129,-2,0,24,2,0.0,0,0.0,0,0,2,0,0,0.2,12175,0,0,0,0,1577,12,0,1,281,West Ham,Middlesbrough,Bournemouth,Hull City,Swansea,1.3,0.6,1.1,0.6,1.7,0.6
Abdoulaye,Doucoure,MID,WAT,4600000,0,24,0.25,5.4347826086956504e-08,5.21739130434783e-06,0,1183,3,16,0,0,0,1,0,5.2,45,-4,0,24,4,0.4,0,1.8,0,0,3,0,0,0.0,667,0,0,0,0,740,16,0,0,119,Swansea,Hull City,Liverpool,Leicester,Everton,0.1,0.1,0.1,0.1,0.2,0.1
