FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW36Forecast,GW37Forecast,GW38Forecast
Billy,Jones,DEF,SUN,4400000,0,40,1.7,3.8636363636363604e-07,9.09090909090909e-06,0,3357,7,40,0,0,0,0,0,9.1,158,-1,0,40,1,0.2,0,0.8,3,0,4,0,0,0.1,4477,0,211,0,0,1910,30,0,0,290,Hull City,Swansea,Arsenal,Chelsea,,0.0,2.8,1.0
David,Jones,MID,BUR,5000000,0,1,1.0,2e-07,2e-07,0,3028,1,1,0,0,0,0,0,0.2,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,192,0,0,0,0,86,1,0,0,8,West Brom,Bournemouth,West Ham,,,0.0,0.0,0.0
Phil,Jones,DEF,MUN,4500000,0,42,0.4,8.888888888888891e-08,9.33333333333333e-06,0,230262,1,10,0,0,0,0,0,9.3,625,-5,0,42,5,0.0,0,0.0,4,0,3,0,0,0.6,234506,0,64,0,0,1224,140,0,0,269,Arsenal,Tottenham,Southampton,Crystal Palace,,0.2,0.4,0.2
,Joselu,FWD,STK,5300000,0,0,0.0,0.0,0.0,0,6777,0,0,0,0,0,0,0,0.0,6,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,718,0,246,0,0,0,2,0,0,0,Bournemouth,Arsenal,Southampton,,,0.0,0.0,0.0
,Josh Robson,DEF,SUN,4000000,0,0,0.0,0.0,0.0,0,3763,0,0,0,0,0,0,0,0.0,25,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,5021,0,0,0,0,0,10,0,0,0,Hull City,Swansea,Arsenal,Chelsea,,0.0,0.0,0.0
Lukas,Jutkiewicz,FWD,BUR,4300000,0,2,1.0,2.3255813953488398e-07,4.65116279069767e-07,0,30638,0,0,0,0,0,0,0,0.5,125,-2,0,2,2,0.0,0,0.0,0,0,0,0,0,0.6,14493,0,0,0,0,13,58,0,0,5,West Brom,Bournemouth,West Ham,,,0.0,0.0,0.0
Christian,Kabasele,DEF,WAT,4800000,2,33,0.314285714285714,6.54761904761905e-08,6.875e-06,0,3125,1,13,0,0,0,2,0,6.9,5,-2,0,33,2,0.2,0,0.8,1,0,1,0,0,0.0,1413,0,0,0,0,664,9,0,0,126,Leicester,Everton,Chelsea,Man City,,0.2,0.4,0.2
Younes,Kaboul,DEF,WAT,4300000,0,57,2.5,5.81395348837209e-07,1.32558139534884e-05,0,65846,2,36,0,0,0,2,0,13.3,725,-2,1,57,2,0.0,0,0.0,1,0,4,0,0,0.7,61728,0,231,0,0,1910,9,-1,0,342,Leicester,Everton,Chelsea,Man City,,0.0,0.0,0.0
Sullay,Kaikai,MID,CRY,4500000,0,0,0.0,0.0,0.0,0,2284,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,222,0,9,0,0,0,5,0,0,0,Man City,Hull City,Man Utd,,,0.0,0.0,0.0
Harry,Kane,FWD,TOT,11700000,5,174,6.7,5.726495726495729e-07,1.48717948717949e-05,0,2191443,3,15,0,0,0,21,0,15.0,7257,7,-1,174,-7,0.4,1,4.4,26,0,14,0,6,18.7,2278935,0,1053,0,7,2175,44349,1,0,694,West Ham,Man Utd,Leicester,Hull City,,7.6,15.9,7.1
